model,dataset,accuracy,precision,recall,f1_score,confusion_matrix,RMSE,MAE,R2
LSTM_Classifier,EGX100,0.7342342342342343,0.5390999107215324,0.7342342342342343,0.6217152217152218,"[[163, 0], [59, 0]]",,,
LSTM_Classifier,Gold,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333334,"[[48, 0], [24, 0]]",,,
LinearRegression,Gold,,,,,,0.0057296755583566,0.0041437396215857,0.9400310590434282
RandomForest,Gold,,,,,,0.0159605853081714,0.0103975568274117,0.5346669005835871
SVR,Gold,,,,,,0.0222097163036609,0.0146078924228128,0.0989428444233567
LogisticRegression,TBills,0.9011532125205932,0.9464195904082592,0.9011532125205932,0.913440981856412,"[[482, 59], [1, 65]]",,,
DecisionTree,TBills,0.899505766062603,0.9406130616018792,0.899505766062603,0.9113128421335396,"[[484, 57], [4, 62]]",,,
XGBoostClassifier,TBills,0.9472817133443164,0.9505470339238976,0.9472817133443164,0.948591606393968,"[[521, 20], [12, 54]]",,,
LogisticRegression,TMG,0.5461254612546126,0.5564181741160903,0.5461254612546126,0.5498488066622368,"[[190, 137], [109, 106]]",,,
DecisionTree,TMG,0.5202952029520295,0.5140743036127784,0.5202952029520295,0.5167533635102737,"[[205, 122], [138, 77]]",,,
XGBoostClassifier,TMG,0.577490774907749,0.5355128616503556,0.577490774907749,0.5262931545970597,"[[274, 53], [176, 39]]",,,
LSTM_Classifier,PalmHills,0.59765625,0.3571929931640625,0.59765625,0.4471462408312958,"[[306, 0], [206, 0]]",,,
LSTM_Classifier,TBills,0.8925476603119584,0.7966413259283511,0.8925476603119584,0.8418718774004735,"[[515, 0], [62, 0]]",,,
LogisticRegression,EGX100,0.6825396825396826,0.719060071960044,0.6825396825396826,0.6959555196843332,"[[137, 51], [29, 35]]",,,
DecisionTree,EGX100,0.5476190476190477,0.6521870068543482,0.5476190476190477,0.5767979432575706,"[[104, 84], [30, 34]]",,,
XGBoostClassifier,EGX100,0.6825396825396826,0.6392333033842468,0.6825396825396826,0.6554334554334554,"[[160, 28], [52, 12]]",,,
LSTM_Classifier,SODIC,0.6379647749510763,0.4069990540783774,0.6379647749510763,0.4969570289941478,"[[326, 0], [185, 0]]",,,
LinearRegression,TMG,,,,,,0.0102044568536219,0.0068094385760073,0.8804085873622153
RandomForest,TMG,,,,,,0.0143028868036124,0.0073859198572035,0.7650542401836822
SVR,TMG,,,,,,0.0245890283017874,0.0139845921560579,0.3056108247523704
LSTM_Regressor,EGX100,,,,,,0.0187212343331422,0.0134690253583526,-0.56661311170356
LinearRegression,TBills,,,,,,5.356610299399999e-17,4.1483091126863604e-17,1.0
RandomForest,TBills,,,,,,0.0022494448177142,0.000248175797743,0.9748706583784712
SVR,TBills,,,,,,0.005733286863194,0.0042855646788405,0.8367557972798211
LSTM_Regressor,EGX30,,,,,,0.018744429026292,0.0141521792917401,-0.7939505421788922
LinearRegression,SODIC,,,,,,0.0130069596006847,0.0087470926811936,0.8644335801354797
RandomForest,SODIC,,,,,,0.0199252936480407,0.0102231613595436,0.6818660590765182
SVR,SODIC,,,,,,0.0304910118965791,0.0157349626581803,0.2550206766980027
LogisticRegression,EGX30,0.5685557586837294,0.5648385812134556,0.5685557586837294,0.5665820772767757,"[[234, 114], [122, 77]]",,,
DecisionTree,EGX30,0.5301645338208409,0.5395889991046579,0.5301645338208409,0.5342752550570131,"[[210, 138], [119, 80]]",,,
XGBoostClassifier,EGX30,0.6069469835466179,0.5438593308794405,0.6069469835466179,0.5398425092534229,"[[307, 41], [174, 25]]",,,
LSTM_Regressor,TBills,,,,,,0.0156485093152373,0.0095389830832987,-0.192060786526848
LSTM_Classifier,TMG,0.60546875,0.5198815489217465,0.60546875,0.4863642939814814,"[[303, 12], [190, 7]]",,,
LSTM_Regressor,Gold,,,,,,0.0204846224585739,0.0154000461056008,-0.0108973983581475
LinearRegression,EGX100,,,,,,0.003065513820646,0.0020351324904973,0.953736928415104
RandomForest,EGX100,,,,,,0.0075676887831772,0.0042182306953014,0.7180614678948825
SVR,EGX100,,,,,,0.0114331984538657,0.0059756458890376,0.3564780116609625
LogisticRegression,PalmHills,0.492619926199262,0.5116989372140913,0.492619926199262,0.4971184856160955,"[[157, 165], [110, 110]]",,,
DecisionTree,PalmHills,0.4981549815498155,0.5072765930362007,0.4981549815498155,0.5015983394552059,"[[173, 149], [123, 97]]",,,
XGBoostClassifier,PalmHills,0.5350553505535055,0.5138424682676146,0.5350553505535055,0.5181621762389873,"[[226, 96], [156, 64]]",,,
LSTM_Regressor,PalmHills,,,,,,0.0321507222132854,0.0241161880619037,-0.3578947930240697
LinearRegression,EGX30,,,,,,0.0041750191060537,0.0029653048597594,0.9199883830965738
RandomForest,EGX30,,,,,,0.0058919825974899,0.0036891610144999,0.8406474479252051
SVR,EGX30,,,,,,0.0089335819581613,0.005085882311184,0.6336574497133807
LSTM_Classifier,EGX30,0.6421663442940039,0.4123776137439251,0.6421663442940039,0.5022361043712822,"[[332, 0], [185, 0]]",,,
LinearRegression,PalmHills,,,,,,0.0081160904402874,0.0060842291614536,0.9207434253032528
RandomForest,PalmHills,,,,,,0.0128608322123654,0.0086904164239485,0.8009878058462684
SVR,PalmHills,,,,,,0.0186547619263588,0.0108354608919633,0.5812826418494629
LogisticRegression,Gold,0.5686274509803921,0.5368005738880918,0.5686274509803921,0.525509795012962,"[[49, 11], [33, 9]]",,,
DecisionTree,Gold,0.4313725490196078,0.4713235294117647,0.4313725490196078,0.4159207161125319,"[[17, 43], [15, 27]]",,,
XGBoostClassifier,Gold,0.5588235294117647,0.4923311982135512,0.5588235294117647,0.475086548426693,"[[53, 7], [38, 4]]",,,
LSTM_Regressor,TMG,,,,,,0.035340691369764,0.0257418596550786,-1.0732344748251292
LSTM_Regressor,SODIC,,,,,,0.0465422806056807,0.0353055169551259,-1.470156302870978
LogisticRegression,SODIC,0.5249537892791127,0.5539240640670741,0.5249537892791127,0.5324488574427109,"[[178, 160], [97, 106]]",,,
DecisionTree,SODIC,0.5157116451016636,0.5423788985711352,0.5157116451016636,0.523254161955865,"[[178, 160], [102, 101]]",,,
XGBoostClassifier,SODIC,0.5988909426987061,0.5491597367292032,0.5988909426987061,0.5425979845204211,"[[291, 47], [170, 33]]",,,
