"Date","Price","Open","High","Low","Change %"
"04/30/2026","23.671","23.643","23.671","23.643","0.12%"
"04/29/2026","23.642","23.765","23.765","23.642","-0.52%"
"04/28/2026","23.765","23.257","23.765","23.257","2.18%"
"04/27/2026","23.257","23.286","23.286","23.257","-0.12%"
"04/24/2026","23.285","23.268","23.485","23.268","0.00%"
"04/23/2026","23.286","23.268","23.286","23.268","0.08%"
"04/22/2026","23.267","23.358","23.358","23.267","-0.39%"
"04/21/2026","23.358","23.240","23.358","23.240","0.50%"
"04/20/2026","23.242","24.150","24.150","23.242","-3.76%"
"04/17/2026","24.150","23.515","24.351","23.515","0.00%"
"04/16/2026","24.150","23.515","24.150","23.515","2.70%"
"04/15/2026","23.514","23.611","23.611","23.514","-0.41%"
"04/14/2026","23.610","24.430","24.430","23.610","-4.42%"
"04/13/2026","24.702","24.702","24.702","24.702","0.00%"
"04/10/2026","24.702","25.343","25.343","24.702","0.00%"
"04/09/2026","24.703","25.343","25.343","24.703","-2.53%"
"04/08/2026","25.344","24.924","25.344","24.924","1.69%"
"04/07/2026","24.924","25.258","25.258","24.924","-1.33%"
"04/06/2026","25.259","24.840","25.259","24.840","1.69%"
"04/03/2026","24.840","25.345","25.345","24.840","0.00%"
"04/02/2026","24.841","25.345","25.345","24.841","-1.98%"
"04/01/2026","25.344","25.434","25.434","25.344","-0.35%"
"03/31/2026","25.433","25.124","25.433","25.124","1.23%"
"03/30/2026","25.124","23.519","25.124","23.519","6.82%"
"03/27/2026","23.519","23.655","23.723","23.518","0.00%"
"03/26/2026","23.518","23.655","23.655","23.518","-0.58%"
"03/25/2026","23.655","23.641","23.655","23.641","0.06%"
"03/24/2026","23.641","23.402","23.641","23.402","1.02%"
"03/23/2026","23.402","23.402","23.402","23.402","0.00%"
"03/20/2026","23.402","23.402","23.602","23.402","0.00%"
"03/19/2026","23.402","23.402","23.402","23.402","0.00%"
"03/18/2026","23.402","23.412","23.412","23.402","-0.05%"
"03/17/2026","23.413","23.188","23.413","23.188","0.97%"
"03/16/2026","23.188","23.405","23.405","23.188","-0.93%"
"03/13/2026","23.406","23.299","23.600","23.049","0.01%"
"03/12/2026","23.404","23.299","23.404","23.049","-7.60%"
"03/11/2026","25.330","25.328","25.330","25.328","0.00%"
"03/10/2026","25.330","25.327","25.330","25.327","0.00%"
"03/09/2026","25.329","25.319","25.329","25.319","0.02%"
"03/06/2026","25.323","25.320","25.323","25.320","0.00%"
"03/05/2026","25.323","25.320","25.323","25.320","-0.01%"
"03/04/2026","25.326","25.324","25.326","25.324","0.00%"
"03/03/2026","25.326","25.323","25.326","25.323","0.00%"
"03/02/2026","25.326","26.014","25.326","24.764","0.03%"
"02/27/2026","25.318","26.014","26.014","25.318","0.00%"
"02/26/2026","25.318","26.014","26.014","25.318","-0.51%"
"02/25/2026","25.449","25.445","25.449","25.445","0.01%"
"02/24/2026","25.447","25.408","25.447","25.408","0.15%"
"02/23/2026","25.410","25.392","25.410","25.392","0.06%"
